10:42:3  UPDATE SHORT : UPDATE dataFR SET short='halo' WHERE key='641970392'
11:8:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1349837773','Utrecht',''+NULL+'',NULL,'None')
11:8:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1923689610','Neuchâtel',''+NULL+'',NULL,'None')
11:8:53  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1204236445','Missouri',''+NULL+'',NULL,'None')
11:9:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1181435966','Basel-Landschaft',''+NULL+'',NULL,'None')
11:9:32  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-385394886','Republic of Ingushetia',''+NULL+'',NULL,'None')
11:10:12  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('333351436','Wisconsin',''+NULL+'',NULL,'None')
11:10:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('655742452','Alaska',''+NULL+'',NULL,'None')
11:10:52  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1830174350','Maine','maine',3.828,'zzzzz')
11:11:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1932798131','Bavaria',''+NULL+'',NULL,'None')
11:11:32  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-134184213','Georgia',''+NULL+'',NULL,'None')
11:12:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1874337510','Republic of Karelia',''+NULL+'',NULL,'None')
11:12:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-722822538','Namur',''+NULL+'',NULL,'None')
11:12:51  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-113957972','Thuringia',''+NULL+'',NULL,'None')
11:13:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-216018099','Friesland',''+NULL+'',NULL,'None')
