1:7:15  UPDATE dataFR SET time=1.947, owner='zzzzz' WHERE key='1056543094'
1:7:23  UPDATE dataFR SET time=3.206, owner='zzzzz' WHERE key='-392902055'
1:7:39  UPDATE dataFR SET time=1.572, owner='zzzzz' WHERE key='-1513646866'
1:7:47  UPDATE dataFR SET time=3.189, owner='zzzzz' WHERE key='-1603969640'
1:8:8  UPDATE dataFR SET time=1.512, owner='zzzzz' WHERE key='-1841488038'
1:8:29  UPDATE dataFR SET time=2.592, owner='zzzzz' WHERE key='1788995712'
1:8:40  UPDATE dataFR SET short='tajikistan', time=5.89 , owner='zzzzz' WHERE key='1180554552'
1:8:56  UPDATE dataFR SET short='sanmarino' WHERE key='-1480838477'
1:9:4  UPDATE dataFR SET time=2.891, owner='zzzzz' WHERE key='-1619923498'
1:9:26  UPDATE dataFR SET time=6.563, owner='zzzzz' WHERE key='606151559'
1:9:41  UPDATE dataFR SET time=2.966, owner='zzzzz' WHERE key='-391905301'
1:10:19  UPDATE dataFR SET time=1.369, owner='zzzzz' WHERE key='2078910793'
1:10:29  UPDATE dataFR SET time=4.306, owner='zzzzz' WHERE key='-2083607616'
1:10:36  UPDATE dataFR SET time=2.587, owner='zzzzz' WHERE key='-1573877482'
1:10:51  UPDATE dataFR SET time=3.595, owner='zzzzz' WHERE key='-2024900787'
1:11:13  UPDATE dataFR SET time=1.732, owner='zzzzz' WHERE key='567307022'
1:11:20  UPDATE dataFR SET time=1.301, owner='zzzzz' WHERE key='-237466712'
1:11:34  UPDATE dataFR SET short='saintvincentandgrenadines', time=8.985 , owner='zzzzz' WHERE key='-1339786103'
1:20:48  UPDATE dataFR SET time=2.471, owner='zzzzz' WHERE key='-1273797786'
1:21:6  UPDATE dataFR SET time=1.889, owner='zzzzz' WHERE key='-961538020'
1:21:13  UPDATE dataFR SET time=2.003, owner='zzzzz' WHERE key='779458729'
1:21:22  UPDATE dataFR SET time=3.051, owner='zzzzz' WHERE key='1982494115'
1:21:44  UPDATE dataFR SET time=1.151, owner='zzzzz' WHERE key='-511116256'
1:21:51  UPDATE dataFR SET time=1.892, owner='zzzzz' WHERE key='942650854'
1:22:6  UPDATE dataFR SET time=1.84, owner='zzzzz' WHERE key='1181771782'
1:22:13  UPDATE dataFR SET time=1.95, owner='zzzzz' WHERE key='-1603882357'
1:22:30  UPDATE dataFR SET time=3.567, owner='zzzzz' WHERE key='-989632955'
1:23:23  UPDATE dataFR SET time=1.901, owner='zzzzz' WHERE key='-551896898'
1:23:30  UPDATE dataFR SET time=2.19, owner='zzzzz' WHERE key='-1025638520'
1:23:55  UPDATE dataFR SET time=2.993, owner='zzzzz' WHERE key='553250132'
1:24:2  UPDATE dataFR SET time=1.442, owner='zzzzz' WHERE key='591525248'
1:24:35  UPDATE dataFR SET time=2.635, owner='zzzzz' WHERE key='-1826593868'
1:24:44  UPDATE dataFR SET time=3.816, owner='zzzzz' WHERE key='-1533709977'
1:24:51  UPDATE dataFR SET time=2.057, owner='zzzzz' WHERE key='216615570'
1:25:48  UPDATE dataFR SET time=1.593, owner='zzzzz' WHERE key='-1480838477'
1:26:39  UPDATE dataFR SET time=1.203, owner='zzzzz' WHERE key='1440172120'
1:26:47  UPDATE dataFR SET time=2.562, owner='zzzzz' WHERE key='263339425'
1:27:23  UPDATE dataFR SET time=2.084, owner='zzzzz' WHERE key='1965976121'
1:27:37  UPDATE dataFR SET time=2.65, owner='zzzzz' WHERE key='-2024900787'
1:27:44  UPDATE dataFR SET time=1.961, owner='zzzzz' WHERE key='-540707159'
1:27:51  UPDATE dataFR SET time=2.13, owner='zzzzz' WHERE key='-1610888106'
1:28:10  UPDATE dataFR SET time=5.297, owner='zzzzz' WHERE key='-1369401771'
1:28:17  UPDATE dataFR SET time=2.665, owner='zzzzz' WHERE key='-425136340'
1:30:38  UPDATE dataFR SET time=3.056, owner='zzzzz' WHERE key='1180554552'
1:30:47  UPDATE dataFR SET time=3.276, owner='zzzzz' WHERE key='-1947998725'
1:30:54  UPDATE dataFR SET time=2.291, owner='zzzzz' WHERE key='1713935075'
1:31:1  UPDATE dataFR SET time=2.374, owner='zzzzz' WHERE key='-1256691282'
1:31:41  UPDATE dataFR SET time=1.231, owner='zzzzz' WHERE key='-1619923498'
1:31:47  UPDATE dataFR SET time=1.319, owner='zzzzz' WHERE key='163549578'
1:31:54  UPDATE dataFR SET time=1.369, owner='zzzzz' WHERE key='899991355'
1:32:32  UPDATE dataFR SET time=1.78, owner='zzzzz' WHERE key='-1446715842'
1:32:38  UPDATE dataFR SET time=1.089, owner='zzzzz' WHERE key='1795039532'
1:32:45  UPDATE dataFR SET time=1.639, owner='zzzzz' WHERE key='158761520'
1:33:8  UPDATE dataFR SET time=4.41, owner='zzzzz' WHERE key='-609079923'
1:33:24  UPDATE dataFR SET time=3.193, owner='zzzzz' WHERE key='-601516895'
1:34:7  UPDATE dataFR SET short='somaliland', time=7.207 , owner='zzzzz' WHERE key='-1685560391'
1:34:15  UPDATE dataFR SET time=2.97, owner='zzzzz' WHERE key='-226138725'
1:34:22  UPDATE dataFR SET time=1.508, owner='zzzzz' WHERE key='1201692071'
1:34:39  UPDATE dataFR SET time=1.458, owner='zzzzz' WHERE key='1056543094'
1:34:45  UPDATE dataFR SET time=1.247, owner='zzzzz' WHERE key='1741473874'
1:35:1  UPDATE dataFR SET time=1.69, owner='zzzzz' WHERE key='-1069185488'
1:35:22  UPDATE dataFR SET time=1.255, owner='zzzzz' WHERE key='-1364416330'
1:36:19  UPDATE dataFR SET time=2.416, owner='zzzzz' WHERE key='-1136794763'
1:36:33  UPDATE dataFR SET time=1.932, owner='zzzzz' WHERE key='-1644265438'
1:36:39  UPDATE dataFR SET time=1.071, owner='zzzzz' WHERE key='-861571673'
1:36:45  UPDATE dataFR SET time=1.193, owner='zzzzz' WHERE key='1788995712'
1:37:47  UPDATE dataFR SET time=3.039, owner='zzzzz' WHERE key='2146416770'
1:38:27  UPDATE dataFR SET time=1.087, owner='zzzzz' WHERE key='1755225289'
1:38:41  UPDATE dataFR SET time=1.389, owner='zzzzz' WHERE key='-345978840'
1:39:14  UPDATE dataFR SET time=3.424, owner='zzzzz' WHERE key='-365893064'
1:39:59  UPDATE dataFR SET time=1.543, owner='zzzzz' WHERE key='-1409777749'
