9:46:25  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('199724578','Baden-Württemberg',''+NULL+'',NULL,'None')
9:47:5  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-314632907','Bremen',''+NULL+'',NULL,'None')
9:47:25  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1185112307','Altai Republic',''+NULL+'',NULL,'None')
9:47:45  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1700950371','Groningen',''+NULL+'',NULL,'None')
9:48:6  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1302137140','Sicily','sicily',3.404,'emmaa GW')
9:48:26  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('387217673','Wyoming','wyoming',2.213,'emmaa GW')
9:48:46  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1312180200','Guadeloupe',''+NULL+'',NULL,'None')
9:49:5  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-2061325281','Principality of Astuarias',''+NULL+'',NULL,'None')
9:49:25  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-924681857','Nidwalden',''+NULL+'',NULL,'None')
9:49:46  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-172877726','Hauts-de-France',''+NULL+'',4.002,'emmaa GW')
9:49:55  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('452855133','Berlin','berlin',2.029,'emmaa GW')
9:50:15  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('913592526','Cocos Islands','icocos',2.307,'emmaa GW')
9:50:35  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-2035833744','Northern Mariana Islands',''+NULL+'',8.714,'emmaa GW')
9:50:55  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-306208913','Cantabria',''+NULL+'',NULL,'None')
9:51:8  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1162330060','Sint Maarten',''+NULL+'',1.802,'zzzzz')
9:51:17  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-2116476081','Quebec','quebec',2.049,'emmaa GW')
9:51:38  UDPATE TIME AND SHORT : UPDATE dataEN SET short='saintpierreetmiquelon', time=10.349 , owner='zzzzz' WHERE key='456086803'
9:51:57  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1389347992','Republic of Khakassia',''+NULL+'',NULL,'None')
9:52:17  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-296204031','Maryland','maryland',4.166,'emmaa GW')
9:52:37  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1604135989','Zeeland','zeeland',3.726,'emmaa GW')
